rank,feature,shap_phi,shap_norm,perm_I,perm_norm,robust_score,selected
1,FILT_NTU,0.05407,0.204,0.148149,0.251,0.2263,True
2,CLR,0.015425,0.0582,0.124417,0.2108,0.1108,True
3,day_sin,0.032763,0.1236,0.051422,0.0871,0.1038,True
4,day_cos,0.020646,0.0779,0.042832,0.0726,0.0752,True
5,RIVER_LEVEL,0.012668,0.0478,0.026256,0.0445,0.0461,True
6,TW_FLOW,0.009804,0.037,0.012655,0.0214,0.0282,True
7,PSI_alum,0.006549,0.0247,0.015706,0.0266,0.0256,True
8,RW_FLOW,0.011335,0.0428,0.007738,0.0131,0.0237,True
9,RW_FLOW_mean12,0.007204,0.0272,0.012186,0.0206,0.0237,True
10,eta_coag,0.005571,0.021,0.010106,0.0171,0.019,True
11,RW_CLR,0.001801,0.0068,0.028394,0.0481,0.0181,True
12,FILT_NTU_mean3,0.004271,0.0161,0.008896,0.0151,0.0156,True
13,FILT_NTU_mean12,0.004462,0.0168,0.007852,0.0133,0.015,True
14,CL2,0.003509,0.0132,0.006319,0.0107,0.0119,True
15,RW_FLOW_mean6,0.006075,0.0229,0.002661,0.0045,0.0102,True
16,FILT_NTU_mean6,0.003918,0.0148,0.003827,0.0065,0.0098,True
17,neg_ln_eta,0.004198,0.0158,0.003427,0.0058,0.0096,True
18,FILT_NTU_std12,0.003452,0.013,0.00401,0.0068,0.0094,True
19,FILT_NTU_max3,0.002799,0.0106,0.004491,0.0076,0.009,True
20,CW_WELL_LEVEL,0.002354,0.0089,0.00538,0.0091,0.009,True
21,CW_WELL_LEVEL_std12,0.001572,0.0059,0.003868,0.0066,0.0062,True
22,rw_p2,0.003031,0.0114,0.001892,0.0032,0.0061,True
23,hour_sin,0.002169,0.0082,0.002202,0.0037,0.0055,True
24,RW_FLOW_max12,0.002139,0.0081,0.002179,0.0037,0.0055,True
25,FILT_NTU_max12,0.002197,0.0083,0.001995,0.0034,0.0053,True
26,tw_p4,0.002179,0.0082,0.001685,0.0029,0.0048,False
27,RW_NTU_std6,0.001725,0.0065,0.002043,0.0035,0.0047,False
28,RW_NTU,0.001012,0.0038,0.003462,0.0059,0.0047,False
29,RW_FLOW_std12,0.001305,0.0049,0.002592,0.0044,0.0046,False
30,ALUM,0.001721,0.0065,0.00191,0.0032,0.0046,False
31,tw_p2,0.002821,0.0106,0.001083,0.0018,0.0044,False
32,PI_load,0.001364,0.0051,0.001886,0.0032,0.0041,False
33,FILT_NTU_std3,0.001425,0.0054,0.001677,0.0028,0.0039,False
34,RW_NTU_max12,0.001494,0.0056,0.001564,0.0027,0.0039,False
35,FILT_NTU_max6,0.001427,0.0054,0.00133,0.0023,0.0035,False
36,FILT_NTU_lag1,0.001105,0.0042,0.001491,0.0025,0.0032,False
37,tw_p1,0.000914,0.0034,0.001465,0.0025,0.0029,False
38,RW_NTU_std12,0.000941,0.0035,0.001412,0.0024,0.0029,False
39,CW_WELL_LEVEL_mean3,0.001041,0.0039,0.001188,0.002,0.0028,False
40,CW_WELL_LEVEL_max3,0.000966,0.0036,0.001101,0.0019,0.0026,False
41,tw_p3,0.001065,0.004,0.000872,0.0015,0.0024,False
42,FILT_NTU_delta,0.000578,0.0022,0.001549,0.0026,0.0024,False
43,RW_NTU_lag3,0.000609,0.0023,0.001372,0.0023,0.0023,False
44,RW_NTU_max6,0.000872,0.0033,0.000956,0.0016,0.0023,False
45,FILT_NTU_std6,0.00047,0.0018,0.00168,0.0028,0.0022,False
46,RW_FLOW_max3,0.001184,0.0045,0.000607,0.001,0.0021,False
47,alum_inv,0.001101,0.0042,0.000528,0.0009,0.0019,False
48,FILT_NTU_lag3,0.000481,0.0018,0.001201,0.002,0.0019,False
49,CW_WELL_LEVEL_std6,0.000481,0.0018,0.001203,0.002,0.0019,False
50,CW_WELL_LEVEL_lag1,0.000516,0.0019,0.00098,0.0017,0.0018,False
51,CW_WELL_LEVEL_mean12,0.000805,0.003,0.000647,0.0011,0.0018,False
52,RW_NTU_mean12,0.000588,0.0022,0.000899,0.0015,0.0018,False
53,ALUM_lag1,0.000663,0.0025,0.000541,0.0009,0.0015,False
54,dose_ratio_inv,0.000485,0.0018,0.000602,0.001,0.0014,False
55,RW_FLOW_lag1,0.000532,0.002,0.000433,0.0007,0.0012,False
56,CW_WELL_LEVEL_max12,0.000513,0.0019,0.000467,0.0008,0.0012,False
57,phi_alum,0.000393,0.0015,0.000555,0.0009,0.0012,False
58,hour_cos,0.000367,0.0014,0.000564,0.001,0.0012,False
59,RW_FLOW_max6,0.000386,0.0015,0.00047,0.0008,0.0011,False
60,RW_NTU_delta,0.000394,0.0015,0.000497,0.0008,0.0011,False
61,FILT_NTU_lag6,0.000362,0.0014,0.000546,0.0009,0.0011,False
62,RW_NTU_lag6,0.000373,0.0014,0.000532,0.0009,0.0011,False
63,RW_FLOW_lag6,0.00041,0.0015,0.000497,0.0008,0.0011,False
64,RW_NTU_mean6,0.000433,0.0016,0.000393,0.0007,0.001,False
65,RW_FLOW_std3,0.000288,0.0011,0.000547,0.0009,0.001,False
66,CW_WELL_LEVEL_mean6,0.000434,0.0016,0.000328,0.0006,0.001,False
67,CW_WELL_LEVEL_lag3,0.0003,0.0011,0.000533,0.0009,0.001,False
68,CW_WELL_LEVEL_std3,0.000333,0.0013,0.000446,0.0008,0.001,False
69,RW_FLOW_mean3,0.000329,0.0012,0.000429,0.0007,0.0009,False
70,RW_FLOW_std6,0.000329,0.0012,0.000397,0.0007,0.0009,False
71,PH,0.000302,0.0011,0.000436,0.0007,0.0009,False
72,RW_PH,0.000472,0.0018,0.000188,0.0003,0.0008,False
73,ALUM_lag6,0.000298,0.0011,0.00036,0.0006,0.0008,False
74,CW_WELL_LEVEL_lag6,0.000236,0.0009,0.000435,0.0007,0.0008,False
75,is_weekend,0.000319,0.0012,0.000267,0.0005,0.0007,False
76,rw_p1,0.000223,0.0008,0.000308,0.0005,0.0007,False
77,RW_NTU_lag1,0.000287,0.0011,0.000295,0.0005,0.0007,False
78,RW_NTU_std3,0.000215,0.0008,0.00033,0.0006,0.0007,False
79,ALUM_lag3,0.000254,0.001,0.00034,0.0006,0.0007,False
80,RW_NTU_mean3,0.000245,0.0009,0.000248,0.0004,0.0006,False
81,RW_FLOW_delta,0.000185,0.0007,0.000218,0.0004,0.0005,False
82,RW_NTU_max3,0.000206,0.0008,0.000158,0.0003,0.0005,False
83,CW_WELL_LEVEL_max6,0.000147,0.0006,0.000278,0.0005,0.0005,False
84,CW_WELL_LEVEL_delta,9.4e-05,0.0004,0.000177,0.0003,0.0003,False
85,RW_FLOW_lag3,9.6e-05,0.0004,0.00011,0.0002,0.0003,False
86,tw_p5,0.0,0.0,0.0,0.0,0.0,False
87,rw_p3,0.0,0.0,0.0,0.0,0.0,False
88,rw_p4,0.0,0.0,0.0,0.0,0.0,False
89,GAMMA_alum,0.0,0.0,0.0,0.0,0.0,False
90,rw_ntu_sqrt,0.0,0.0,0.0,0.0,0.0,False
91,psi_hyd,0.0,0.0,0.0,0.0,0.0,False
92,is_night,1e-06,0.0,0.0,0.0,0.0,False
93,FILT_sq,0.0,0.0,0.0,0.0,0.0,False
94,FILT_sqrt,0.0,0.0,0.0,0.0,0.0,False
95,FILT_cubert,0.0,0.0,0.0,0.0,0.0,False
96,eta_sq,0.0,0.0,0.0,0.0,0.0,False
97,rw_ntu_log,0.0,0.0,0.0,0.0,0.0,False
98,alum_sqrt,0.0,0.0,0.0,0.0,0.0,False
99,tw_flow_log,0.0,0.0,0.0,0.0,0.0,False
100,dose_ratio_sq,0.0,0.0,0.0,0.0,0.0,False
101,OMEGA_night,2.1e-05,1e-04,8e-06,0.0,0.0,False
